"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 18, 2012","79.674","79.700","80.025","79.630","15.91K","0.06%"
"Apr 17, 2012","79.627","79.775","79.940","79.560","15.48K","-0.13%"
"Apr 16, 2012","79.732","80.085","80.345","79.670","25.31K","-0.40%"
"Apr 13, 2012","80.055","79.495","80.080","79.450","19.56K","0.76%"
"Apr 12, 2012","79.449","79.920","79.955","79.365","25.77K","-0.68%"
"Apr 11, 2012","79.993","80.105","80.150","79.710","18.55K","-0.13%"
"Apr 10, 2012","80.098","79.955","80.245","79.775","26.10K","0.22%"
"Apr 09, 2012","79.919","80.050","80.320","79.835","11.58K","-0.22%"
"Apr 06, 2012","80.093","80.255","80.323","79.940","-","-0.25%"
"Apr 05, 2012","80.293","79.915","80.365","79.790","4.13K","0.43%"
"Apr 04, 2012","79.949","79.565","80.095","79.540","22.84K","0.39%"
"Apr 03, 2012","79.641","78.900","79.655","78.795","28.23K","0.86%"
"Apr 02, 2012","78.963","79.035","79.275","78.920","19.34K","-0.22%"
"Mar 30, 2012","79.138","79.225","79.225","78.870","24.07K","-0.28%"
"Mar 29, 2012","79.357","79.275","79.530","79.125","19.45K","0.07%"
"Mar 28, 2012","79.299","79.290","79.515","79.050","27.63K","0.10%"
"Mar 27, 2012","79.222","79.125","79.345","78.930","20.78K","0.05%"
"Mar 26, 2012","79.179","79.495","79.940","79.060","19.12K","-0.50%"
"Mar 23, 2012","79.576","79.895","80.010","79.325","24.70K","-0.53%"
"Mar 22, 2012","79.998","79.770","80.195","79.650","21.99K","0.13%"
"Mar 21, 2012","79.896","79.805","80.070","79.530","15.86K","0.09%"
"Mar 20, 2012","79.825","79.755","80.100","79.685","13.89K","0.14%"
"Mar 19, 2012","79.712","80.065","80.185","79.605","20.19K","-0.03%"
"Mar 16, 2012","79.734","80.230","80.385","79.730","-","-0.50%"
"Mar 15, 2012","80.136","80.630","80.725","80.025","22.10K","-0.50%"
"Mar 14, 2012","80.536","80.150","80.620","80.135","38.98K","0.41%"
"Mar 13, 2012","80.210","79.820","80.345","79.690","38.08K","0.37%"
"Mar 12, 2012","79.913","80.025","80.160","79.845","22.99K","-0.21%"
"Mar 09, 2012","80.084","79.225","80.095","79.195","28.39K","1.14%"
"Mar 08, 2012","79.179","79.785","79.815","79.100","24.71K","-0.73%"
"Mar 07, 2012","79.763","79.830","79.980","79.645","25.37K","-0.20%"
"Mar 06, 2012","79.926","79.370","79.935","79.345","28.18K","0.71%"
"Mar 05, 2012","79.365","79.515","79.640","79.285","19.12K","-0.12%"
"Mar 02, 2012","79.462","78.825","79.515","78.790","30.12K","0.80%"
"Mar 01, 2012","78.834","78.800","78.995","78.690","20.82K","0.05%"
"Feb 29, 2012","78.794","78.220","78.930","78.120","36.18K","0.63%"
